scenario,loads,candidate_policy,candidate_cpus,baseline_tok_s_median,candidate_tok_s_median,speedup_vs_baseline,runs,selected,selected_policy,selected_speedup
2c_asym_low_high,"20,80",major_only_p1,60,9.07645,4.8227,0.5313420996094288,5,0,major_only_p2,1.1075916244787336
2c_asym_low_high,"20,80",major_only_p2,"60,61",9.07645,10.053,1.1075916244787336,5,1,major_only_p2,1.1075916244787336
2c_balanced_mid,"50,50",major_only_p1,60,11.7896,5.30374,0.4498659835787474,5,0,baseline_all_cores,1.0
2c_balanced_mid,"50,50",major_only_p2,"60,61",11.7896,11.211,0.950922847255208,5,0,baseline_all_cores,1.0
2c_high,"80,100",major_only_p1,60,8.95039,4.9768,0.5560428093077507,5,0,major_only_p2,1.0281730740224728
2c_high,"80,100",major_only_p2,"60,61",8.95039,9.20255,1.0281730740224728,5,1,major_only_p2,1.0281730740224728
2c_idle_saturated,"0,100",major_only_p1,60,9.89154,6.33174,0.6401167057910092,5,0,baseline_all_cores,1.0
2c_idle_saturated,"0,100",major_only_p2,"60,61",9.89154,9.11134,0.9211245165060242,5,0,baseline_all_cores,1.0
4c_balanced_high,"20,40,60,80",major_only_p1,60,17.0304,5.13552,0.30155016910935734,5,0,major_only_p4,1.0073809188275085
4c_balanced_high,"20,40,60,80",major_only_p2,"60,61",17.0304,9.43173,0.5538172914317926,5,0,major_only_p4,1.0073809188275085
4c_balanced_high,"20,40,60,80",major_only_p3,"60,61,62",17.0304,12.8005,0.7516265031942878,5,0,major_only_p4,1.0073809188275085
4c_balanced_high,"20,40,60,80",major_only_p4,"60,61,62,63",17.0304,17.1561,1.0073809188275085,5,1,major_only_p4,1.0073809188275085
4c_front_hot,"90,70,20,0",major_only_p1,63,17.2196,4.85621,0.2820164231457177,5,0,major_only_p4,1.0127935608260354
4c_front_hot,"90,70,20,0",major_only_p2,"63,62",17.2196,9.23987,0.5365902808427606,5,0,major_only_p4,1.0127935608260354
4c_front_hot,"90,70,20,0",major_only_p3,"63,62,61",17.2196,13.225,0.76802016306999,5,0,major_only_p4,1.0127935608260354
4c_front_hot,"90,70,20,0",major_only_p4,"63,62,61,60",17.2196,17.4399,1.0127935608260354,5,1,major_only_p4,1.0127935608260354
4c_gradient,"0,20,60,100",major_only_p1,60,15.6789,4.975,0.31730542321208755,5,0,major_only_p4,1.032476768140622
4c_gradient,"0,20,60,100",major_only_p2,"60,61",15.6789,9.40719,0.5999904330023151,5,0,major_only_p4,1.032476768140622
4c_gradient,"0,20,60,100",major_only_p3,"60,61,62",15.6789,13.6896,0.8731224767043606,5,0,major_only_p4,1.032476768140622
4c_gradient,"0,20,60,100",major_only_p4,"60,61,62,63",15.6789,16.1881,1.032476768140622,5,1,major_only_p4,1.032476768140622
4c_high,"70,80,90,100",major_only_p1,60,16.9508,5.25933,0.31027031172570024,5,0,baseline_all_cores,1.0
4c_high,"70,80,90,100",major_only_p2,"60,61",16.9508,9.19465,0.5424316256459871,5,0,baseline_all_cores,1.0
4c_high,"70,80,90,100",major_only_p3,"60,61,62",16.9508,13.1524,0.7759161809472119,5,0,baseline_all_cores,1.0
4c_high,"70,80,90,100",major_only_p4,"60,61,62,63",16.9508,16.8784,0.9957288151591664,5,0,baseline_all_cores,1.0
8c_high,"30,40,50,60,70,80,90,100",major_only_p1,60,22.7442,4.97461,0.21871993739063147,5,0,major_only_p7,1.0939844004185681
8c_high,"30,40,50,60,70,80,90,100",major_only_p2,"60,61",22.7442,9.22295,0.40550777780708935,5,0,major_only_p7,1.0939844004185681
8c_high,"30,40,50,60,70,80,90,100",major_only_p3,"60,61,62",22.7442,12.6525,0.5562956709842509,5,0,major_only_p7,1.0939844004185681
8c_high,"30,40,50,60,70,80,90,100",major_only_p4,"60,61,62,63",22.7442,16.6731,0.7330704091592583,5,0,major_only_p7,1.0939844004185681
8c_high,"30,40,50,60,70,80,90,100",major_only_p5,"60,61,62,63,64",22.7442,18.0975,0.7956973646028438,5,0,major_only_p7,1.0939844004185681
8c_high,"30,40,50,60,70,80,90,100",major_only_p6,"60,61,62,63,64,65",22.7442,20.994,0.9230485134671697,5,0,major_only_p7,1.0939844004185681
8c_high,"30,40,50,60,70,80,90,100",major_only_p7,"60,61,62,63,64,65,66",22.7442,24.8818,1.0939844004185681,5,1,major_only_p7,1.0939844004185681
8c_high,"30,40,50,60,70,80,90,100",major_only_p8,"60,61,62,63,64,65,66,67",22.7442,23.8909,1.0504172492327715,5,0,major_only_p7,1.0939844004185681
