scenario,loads,policy,detail,runs,max_tok_s,median_tok_s,min_tok_s,speedup_vs_baseline_max
2c_asym_low_high,"20,80,0,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,32.8447,32.1983,30.5922,1.0
2c_asym_low_high,"20,80,0,0,0,0,0,0",major_only_no_svd,"p=4;major=62,63,64,65",3,22.8443,21.9384,21.8907,0.6955246965263802
2c_asym_low_high,"20,80,0,0,0,0,0,0",major_only_no_svd,"p=6;major=62,63,64,65,66,67",3,29.3342,27.597,25.289,0.8931182199867862
2c_asym_low_high,"20,80,0,0,0,0,0,0",major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",3,30.3691,30.3118,28.6123,0.924627108787719
2c_balanced_mid,"50,50,0,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,33.02,32.0594,31.6741,1.0
2c_balanced_mid,"50,50,0,0,0,0,0,0",major_only_no_svd,"p=4;major=62,63,64,65",3,23.8171,22.4479,21.9031,0.7212931556632344
2c_balanced_mid,"50,50,0,0,0,0,0,0",major_only_no_svd,"p=6;major=62,63,64,65,66,67",3,31.2067,28.4516,27.7847,0.945084797092671
2c_balanced_mid,"50,50,0,0,0,0,0,0",major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",3,30.4719,29.8245,28.9648,0.9228316172016959
2c_high,"80,100,0,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,28.6291,13.1621,6.6849,1.0
2c_high,"80,100,0,0,0,0,0,0",major_only_no_svd,"p=4;major=62,63,64,65",3,22.8987,22.4498,21.5879,0.7998400229137487
2c_high,"80,100,0,0,0,0,0,0",major_only_no_svd,"p=6;major=62,63,64,65,66,67",3,31.075,28.9963,28.4149,1.085434051367315
2c_high,"80,100,0,0,0,0,0,0",major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",3,32.6299,31.5331,30.9878,1.1397459228547178
2c_idle_saturated,"0,100,0,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,34.4643,30.2208,12.6451,1.0
2c_idle_saturated,"0,100,0,0,0,0,0,0",major_only_no_svd,"p=4;major=60,62,63,64",3,26.3405,24.5792,23.5795,0.7642836210223332
2c_idle_saturated,"0,100,0,0,0,0,0,0",major_only_no_svd,"p=6;major=60,62,63,64,65,66",3,34.4248,32.3851,32.2265,0.9988538864854355
2c_idle_saturated,"0,100,0,0,0,0,0,0",major_only_no_svd,"p=7;major=60,62,63,64,65,66,67",3,37.4369,35.8301,32.867,1.0862515704656703
4c_balanced_high,"20,40,60,80,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,29.8555,8.49591,5.65085,1.0
4c_balanced_high,"20,40,60,80,0,0,0,0",major_only_no_svd,"p=4;major=64,65,66,67",3,23.2017,22.6371,21.3744,0.7771331915392473
4c_balanced_high,"20,40,60,80,0,0,0,0",major_only_no_svd,"p=6;major=64,65,66,67,60,61",3,29.4464,28.1285,27.334,0.9862973321498552
4c_balanced_high,"20,40,60,80,0,0,0,0",major_only_no_svd,"p=7;major=64,65,66,67,60,61,62",3,29.3315,23.5896,15.6033,0.9824487950293915
4c_front_hot,"90,70,20,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,35.4072,32.1275,31.8618,1.0
4c_front_hot,"90,70,20,0,0,0,0,0",major_only_no_svd,"p=4;major=63,64,65,66",3,26.1851,24.3393,21.9394,0.7395416751395195
4c_front_hot,"90,70,20,0,0,0,0,0",major_only_no_svd,"p=6;major=63,64,65,66,67,62",3,31.3734,29.1477,24.2712,0.8860740188436249
4c_front_hot,"90,70,20,0,0,0,0,0",major_only_no_svd,"p=7;major=63,64,65,66,67,62,61",3,33.2269,32.3141,30.7285,0.9384221288325537
4c_gradient,"0,20,60,100,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,32.7348,30.41,4.9234,1.0
4c_gradient,"0,20,60,100,0,0,0,0",major_only_no_svd,"p=4;major=60,64,65,66",3,25.0797,22.0997,21.2554,0.76614795263756
4c_gradient,"0,20,60,100,0,0,0,0",major_only_no_svd,"p=6;major=60,64,65,66,67,61",3,28.9718,28.6416,27.0727,0.8850458838911496
4c_gradient,"0,20,60,100,0,0,0,0",major_only_no_svd,"p=7;major=60,64,65,66,67,61,62",3,32.0783,30.4528,29.5654,0.9799448904529735
4c_high,"70,80,90,100,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,8.96054,2.25829,1.75288,1.0
4c_high,"70,80,90,100,0,0,0,0",major_only_no_svd,"p=4;major=64,65,66,67",3,22.6875,21.0506,20.9649,2.53193445930714
4c_high,"70,80,90,100,0,0,0,0",major_only_no_svd,"p=6;major=64,65,66,67,60,61",3,27.0299,23.7597,12.8504,3.0165481098237383
4c_high,"70,80,90,100,0,0,0,0",major_only_no_svd,"p=7;major=64,65,66,67,60,61,62",3,31.8271,24.764,8.32377,3.5519176299642656
8c_high,"30,40,50,60,70,80,90,100",baseline_no_svd,"60,61,62,63,64,65,66,67",3,28.619,26.5266,26.0885,1.0
8c_high,"30,40,50,60,70,80,90,100",major_only_no_svd,"p=4;major=60,61,62,63",3,19.7551,19.6666,19.3098,0.690279185156714
8c_high,"30,40,50,60,70,80,90,100",major_only_no_svd,"p=6;major=60,61,62,63,64,65",3,24.8095,24.7195,24.4879,0.8668891295992173
8c_high,"30,40,50,60,70,80,90,100",major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",3,26.8819,26.6038,26.5817,0.9393025612355429
