scenario,repeat,policy,detail,status,cpus,loads,decode_tok_s,generation_decode_ms,generated,steady_decode_ms,prefix_decode_ms,server_decode_ms,network_wait_ms,prefill_decode_ms,elapsed_s,client_log,server_log,output_tail
2c_balanced_mid,0,baseline_no_svd,"60,61",ok,"60,61","50,50",12.2569,2610.78,,,,,,103.163,3.893852710723877,,,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=21.0211 piece="",""
  id=3837 logit=19.3304 piece=""，""
  id=1052 logit=19.1368 piece="" there""
  id=304 logit=19.024 piece="" in""
  id=264 logit=18.1601 piece="" a""
Autoregressive generation:
Generated text: , there was a little girl named Lily. She lived in a small village with her family. One day, Lily's mom told her about a magical forest that
Decode-only throughput: 12.2569 tokens/s (32 tokens in 2.61078 s of llama_decode)
End-to-end throughput: 12.2093 tokens/s (32 tokens in 2.62096 s)
[decode-stage-profile] model_load=897.345 ms context_create=73.6543 ms tokenize=0.843864 ms prefill_decode=103.163 ms generation_decode=2610.78 ms generation_total=2620.96 ms program_total=3712.98 ms
[svd-local-op-profile] up_ops=0 gate_ops=0 down_ops=0 up_total=0.000 ms gate_total=0.000 ms down_total=0.000 ms up_v=0.000 ms gate_v=0.000 ms down_v=0.000 ms up_u=0.000 ms gate_u=0.000 ms down_u=0.000 ms
[svd-local-stage-profile] attention_total=26.949 ms ffn_total=1896.055 ms ffn_svd_total=0.000 ms ffn_svd_v=0.000 ms ffn_svd_u=0.000 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=0 gate_finish=0 gate_cache=0 gate_no_request=0 down_finish=0 down_cache=0 down_no_request=0 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_balanced_mid,0,major_only_no_svd,p=1;major=60,ok,"60,61","50,50",6.43223,4974.95,,,,,,168.009,6.405750513076782,,,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=1 batch=1
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=21.0211 piece="",""
  id=3837 logit=19.3304 piece=""，""
  id=1052 logit=19.1368 piece="" there""
  id=304 logit=19.024 piece="" in""
  id=264 logit=18.1601 piece="" a""
Autoregressive generation:
Generated text: , there was a little girl named Lily. She lived in a small village with her family. One day, Lily's mom told her about a magical forest that
Decode-only throughput: 6.43223 tokens/s (32 tokens in 4.97495 s of llama_decode)
End-to-end throughput: 6.41866 tokens/s (32 tokens in 4.98546 s)
[decode-stage-profile] model_load=988.732 ms context_create=56.3547 ms tokenize=0.443125 ms prefill_decode=168.009 ms generation_decode=4974.95 ms generation_total=4985.46 ms program_total=6214.94 ms
[svd-local-op-profile] up_ops=0 gate_ops=0 down_ops=0 up_total=0.000 ms gate_total=0.000 ms down_total=0.000 ms up_v=0.000 ms gate_v=0.000 ms down_v=0.000 ms up_u=0.000 ms gate_u=0.000 ms down_u=0.000 ms
[svd-local-stage-profile] attention_total=44.805 ms ffn_total=3677.772 ms ffn_svd_total=0.000 ms ffn_svd_v=0.000 ms ffn_svd_u=0.000 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=0 gate_finish=0 gate_cache=0 gate_no_request=0 down_finish=0 down_cache=0 down_no_request=0 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_balanced_mid,0,edge_end_no_svd,"M=2;PC=[0,2);Phone=[2,28)",ok,"60,61","50,50",16.0285,62.3889,32,1996.44,411.94,1126.14,458.254,,4.093435287475586,2c_balanced_mid_r0_M2_client.log,2c_balanced_mid_r0_M2_server.log,
2c_balanced_mid,0,edge_end_no_svd,"M=4;PC=[0,4);Phone=[4,28)",ok,"60,61","50,50",15.3716,65.0548,32,2081.75,701.161,845.275,535.211,,3.6497879028320312,2c_balanced_mid_r0_M4_client.log,2c_balanced_mid_r0_M4_server.log,
2c_balanced_mid,0,edge_end_no_svd,"M=6;PC=[0,6);Phone=[6,28)",ok,"60,61","50,50",11.9859,83.4314,32,2669.8,1129.44,921.704,618.539,,4.397336959838867,2c_balanced_mid_r0_M6_client.log,2c_balanced_mid_r0_M6_server.log,
2c_balanced_mid,0,edge_end_no_svd,"M=8;PC=[0,8);Phone=[8,28)",ok,"60,61","50,50",10.0424,99.5774,32,3186.48,1772.4,772.833,641.118,,5.065496206283569,2c_balanced_mid_r0_M8_client.log,2c_balanced_mid_r0_M8_server.log,
2c_balanced_mid,0,edge_end_no_svd,"M=12;PC=[0,12);Phone=[12,28)",ok,"60,61","50,50",7.55077,132.437,32,4237.98,2605.66,886.423,745.749,,5.715998649597168,2c_balanced_mid_r0_M12_client.log,2c_balanced_mid_r0_M12_server.log,
2c_balanced_mid,0,edge_end_no_svd,"M=16;PC=[0,16);Phone=[16,28)",ok,"60,61","50,50",2.87515,347.808,32,11129.8,3588.15,2598.21,4943.22,,13.230819702148438,2c_balanced_mid_r0_M16_client.log,2c_balanced_mid_r0_M16_server.log,
2c_balanced_mid,0,edge_end_no_svd,"M=20;PC=[0,20);Phone=[20,28)",ok,"60,61","50,50",4.2357,236.089,32,7554.83,4843.23,970.828,1740.61,,10.656982183456421,2c_balanced_mid_r0_M20_client.log,2c_balanced_mid_r0_M20_server.log,
2c_balanced_mid,1,baseline_no_svd,"60,61",ok,"60,61","50,50",13.0378,2454.4,,,,,,119.571,3.7485814094543457,,,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=21.0211 piece="",""
  id=3837 logit=19.3304 piece=""，""
  id=1052 logit=19.1368 piece="" there""
  id=304 logit=19.024 piece="" in""
  id=264 logit=18.1601 piece="" a""
Autoregressive generation:
Generated text: , there was a little girl named Lily. She lived in a small village with her family. One day, Lily's mom told her about a magical forest that
Decode-only throughput: 13.0378 tokens/s (32 tokens in 2.4544 s of llama_decode)
End-to-end throughput: 12.9824 tokens/s (32 tokens in 2.46488 s)
[decode-stage-profile] model_load=881.004 ms context_create=65.7321 ms tokenize=0.525328 ms prefill_decode=119.571 ms generation_decode=2454.4 ms generation_total=2464.88 ms program_total=3547.97 ms
[svd-local-op-profile] up_ops=0 gate_ops=0 down_ops=0 up_total=0.000 ms gate_total=0.000 ms down_total=0.000 ms up_v=0.000 ms gate_v=0.000 ms down_v=0.000 ms up_u=0.000 ms gate_u=0.000 ms down_u=0.000 ms
[svd-local-stage-profile] attention_total=19.180 ms ffn_total=1805.289 ms ffn_svd_total=0.000 ms ffn_svd_v=0.000 ms ffn_svd_u=0.000 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=0 gate_finish=0 gate_cache=0 gate_no_request=0 down_finish=0 down_cache=0 down_no_request=0 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_balanced_mid,1,major_only_no_svd,p=1;major=60,ok,"60,61","50,50",6.65158,4810.88,,,,,,168.159,6.134824752807617,,,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=1 batch=1
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=21.0211 piece="",""
  id=3837 logit=19.3304 piece=""，""
  id=1052 logit=19.1368 piece="" there""
  id=304 logit=19.024 piece="" in""
  id=264 logit=18.1601 piece="" a""
Autoregressive generation:
Generated text: , there was a little girl named Lily. She lived in a small village with her family. One day, Lily's mom told her about a magical forest that
Decode-only throughput: 6.65158 tokens/s (32 tokens in 4.81088 s of llama_decode)
End-to-end throughput: 6.63771 tokens/s (32 tokens in 4.82094 s)
[decode-stage-profile] model_load=904.731 ms context_create=57.9661 ms tokenize=0.444227 ms prefill_decode=168.159 ms generation_decode=4810.88 ms generation_total=4820.94 ms program_total=5968.13 ms
[svd-local-op-profile] up_ops=0 gate_ops=0 down_ops=0 up_total=0.000 ms gate_total=0.000 ms down_total=0.000 ms up_v=0.000 ms gate_v=0.000 ms down_v=0.000 ms up_u=0.000 ms gate_u=0.000 ms down_u=0.000 ms
[svd-local-stage-profile] attention_total=44.848 ms ffn_total=3569.676 ms ffn_svd_total=0.000 ms ffn_svd_v=0.000 ms ffn_svd_u=0.000 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=0 gate_finish=0 gate_cache=0 gate_no_request=0 down_finish=0 down_cache=0 down_no_request=0 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_balanced_mid,1,edge_end_no_svd,"M=2;PC=[0,2);Phone=[2,28)",ok,"60,61","50,50",18.7579,53.3108,32,1705.95,362.804,873.253,469.797,,3.147146224975586,2c_balanced_mid_r1_M2_client.log,2c_balanced_mid_r1_M2_server.log,
2c_balanced_mid,1,edge_end_no_svd,"M=4;PC=[0,4);Phone=[4,28)",ok,"60,61","50,50",12.0023,83.3172,32,2666.15,846.227,1185.17,634.637,,5.605999231338501,2c_balanced_mid_r1_M4_client.log,2c_balanced_mid_r1_M4_server.log,
2c_balanced_mid,1,edge_end_no_svd,"M=6;PC=[0,6);Phone=[6,28)",ok,"60,61","50,50",11.6417,85.8985,32,2748.75,1326.75,830.951,590.92,,4.601882457733154,2c_balanced_mid_r1_M6_client.log,2c_balanced_mid_r1_M6_server.log,
2c_balanced_mid,1,edge_end_no_svd,"M=8;PC=[0,8);Phone=[8,28)",ok,"60,61","50,50",10.0632,99.3722,32,3179.91,1647.66,762.396,769.73,,4.719012260437012,2c_balanced_mid_r1_M8_client.log,2c_balanced_mid_r1_M8_server.log,
2c_balanced_mid,1,edge_end_no_svd,"M=12;PC=[0,12);Phone=[12,28)",ok,"60,61","50,50",7.24092,138.104,32,4419.33,2836.03,852.487,730.641,,6.141732692718506,2c_balanced_mid_r1_M12_client.log,2c_balanced_mid_r1_M12_server.log,
2c_balanced_mid,1,edge_end_no_svd,"M=16;PC=[0,16);Phone=[16,28)",ok,"60,61","50,50",5.65905,176.708,32,5654.66,3882.92,925.602,845.977,,7.568647623062134,2c_balanced_mid_r1_M16_client.log,2c_balanced_mid_r1_M16_server.log,
2c_balanced_mid,1,edge_end_no_svd,"M=20;PC=[0,20);Phone=[20,28)",ok,"60,61","50,50",4.52981,220.76,32,7064.32,4375.39,1532.9,1155.88,,9.222005128860474,2c_balanced_mid_r1_M20_client.log,2c_balanced_mid_r1_M20_server.log,
2c_asym_low_high,0,baseline_no_svd,"60,61",ok,"60,61","20,80",11.8101,2709.55,,,,,,94.6117,4.038342237472534,,,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=21.0211 piece="",""
  id=3837 logit=19.3304 piece=""，""
  id=1052 logit=19.1368 piece="" there""
  id=304 logit=19.024 piece="" in""
  id=264 logit=18.1601 piece="" a""
Autoregressive generation:
Generated text: , there was a little girl named Lily. She lived in a small village with her family. One day, Lily's mom told her about a magical forest that
Decode-only throughput: 11.8101 tokens/s (32 tokens in 2.70955 s of llama_decode)
End-to-end throughput: 11.7649 tokens/s (32 tokens in 2.71995 s)
[decode-stage-profile] model_load=932.942 ms context_create=60.8826 ms tokenize=0.449608 ms prefill_decode=94.6117 ms generation_decode=2709.55 ms generation_total=2719.95 ms program_total=3825.04 ms
[svd-local-op-profile] up_ops=0 gate_ops=0 down_ops=0 up_total=0.000 ms gate_total=0.000 ms down_total=0.000 ms up_v=0.000 ms gate_v=0.000 ms down_v=0.000 ms up_u=0.000 ms gate_u=0.000 ms down_u=0.000 ms
[svd-local-stage-profile] attention_total=26.434 ms ffn_total=1986.582 ms ffn_svd_total=0.000 ms ffn_svd_v=0.000 ms ffn_svd_u=0.000 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=0 gate_finish=0 gate_cache=0 gate_no_request=0 down_finish=0 down_cache=0 down_no_request=0 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_asym_low_high,0,major_only_no_svd,p=1;major=60,ok,"60,61","20,80",6.31658,5066.03,,,,,,171.25,6.538874387741089,,,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=1 batch=1
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=21.0211 piece="",""
  id=3837 logit=19.3304 piece=""，""
  id=1052 logit=19.1368 piece="" there""
  id=304 logit=19.024 piece="" in""
  id=264 logit=18.1601 piece="" a""
Autoregressive generation:
Generated text: , there was a little girl named Lily. She lived in a small village with her family. One day, Lily's mom told her about a magical forest that
Decode-only throughput: 6.31658 tokens/s (32 tokens in 5.06603 s of llama_decode)
End-to-end throughput: 6.30349 tokens/s (32 tokens in 5.07656 s)
[decode-stage-profile] model_load=1005.27 ms context_create=56.5383 ms tokenize=0.456041 ms prefill_decode=171.25 ms generation_decode=5066.03 ms generation_total=5076.56 ms program_total=6326.12 ms
[svd-local-op-profile] up_ops=0 gate_ops=0 down_ops=0 up_total=0.000 ms gate_total=0.000 ms down_total=0.000 ms up_v=0.000 ms gate_v=0.000 ms down_v=0.000 ms up_u=0.000 ms gate_u=0.000 ms down_u=0.000 ms
[svd-local-stage-profile] attention_total=42.493 ms ffn_total=3761.064 ms ffn_svd_total=0.000 ms ffn_svd_v=0.000 ms ffn_svd_u=0.000 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=0 gate_finish=0 gate_cache=0 gate_no_request=0 down_finish=0 down_cache=0 down_no_request=0 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_asym_low_high,0,edge_end_no_svd,"M=2;PC=[0,2);Phone=[2,28)",ok,"60,61","20,80",16.8567,59.3235,32,1898.35,491.522,947.599,459.1,,3.3063700199127197,2c_asym_low_high_r0_M2_client.log,2c_asym_low_high_r0_M2_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=4;PC=[0,4);Phone=[4,28)",ok,"60,61","20,80",14.0212,71.3207,32,2282.26,826.094,890.648,565.372,,3.8964436054229736,2c_asym_low_high_r0_M4_client.log,2c_asym_low_high_r0_M4_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=6;PC=[0,6);Phone=[6,28)",ok,"60,61","20,80",11.6873,85.5632,32,2738.02,1246.11,871.585,620.158,,4.541741609573364,2c_asym_low_high_r0_M6_client.log,2c_asym_low_high_r0_M6_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=8;PC=[0,8);Phone=[8,28)",ok,"60,61","20,80",9.57321,104.458,32,3342.66,1757.51,830.648,754.338,,4.737622499465942,2c_asym_low_high_r0_M8_client.log,2c_asym_low_high_r0_M8_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=12;PC=[0,12);Phone=[12,28)",ok,"60,61","20,80",7.99241,125.119,32,4003.8,2512.52,841.504,649.651,,5.651378154754639,2c_asym_low_high_r0_M12_client.log,2c_asym_low_high_r0_M12_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=16;PC=[0,16);Phone=[16,28)",ok,"60,61","20,80",6.01196,166.335,32,5322.72,3434.34,682.344,1205.88,,8.3494131565094,2c_asym_low_high_r0_M16_client.log,2c_asym_low_high_r0_M16_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=20;PC=[0,20);Phone=[20,28)",ok,"60,61","20,80",3.39113,294.887,32,9436.38,3988.4,729.435,4718.39,,11.03336238861084,2c_asym_low_high_r0_M20_client.log,2c_asym_low_high_r0_M20_server.log,
